signature_order	gene_symbol	bone_marrow_detection_pct	blood_detection_pct
1	TMSB4X	97.923875432526	99.6978851963746
2	PPBP	77.5086505190311	89.7280966767372
3	FTH1	88.0622837370242	91.5407854984894
4	PF4	75.6055363321799	84.5921450151057
5	GNG11	64.878892733564	73.4138972809668
6	FTL	61.0726643598616	73.4138972809668
7	SH3BGRL3	58.1314878892734	69.4864048338369
8	NRGN	40.8304498269896	83.0815709969789
9	CAVIN2	58.8235294117647	68.8821752265861
10	CCL5	57.6124567474048	64.6525679758308
11	TAGLN2	48.2698961937716	69.7885196374622
12	NCOA4	40.1384083044983	68.5800604229607
13	SERF2	46.7128027681661	64.9546827794562
14	MAP3K7CL	45.1557093425605	59.214501510574
15	MYL6	39.2733564013841	59.5166163141994
16	CLU	39.9653979238754	59.214501510574
17	TUBB1	41.0034602076125	54.0785498489426
18	ITM2B	38.5813148788927	56.1933534743202
19	PTMA	39.7923875432526	50.7552870090634
20	MYL12A	37.7162629757785	52.5679758308157
21	RGS18	33.7370242214533	41.0876132930514
22	CALM3	27.8546712802768	48.036253776435
23	SPARC	29.5847750865052	43.5045317220544
24	PGRMC1	31.3148788927336	38.6706948640483
25	NAP1L1	28.2006920415225	41.3897280966767
26	RGS10	30.1038062283737	36.8580060422961
27	ARPC1B	25.7785467128028	41.6918429003021
28	ACRBP	27.3356401384083	34.7432024169184
29	PPDPF	24.5674740484429	38.368580060423
30	ACTG1	21.7993079584775	39.8791540785499
31	TUBA4A	29.0657439446367	33.2326283987915
32	TREML1	23.0103806228374	38.6706948640483
33	MMD	24.2214532871972	37.1601208459215
34	GP9	27.8546712802768	32.9305135951662
35	FKBP1A	20.9342560553633	38.368580060423
36	LAMTOR1	24.0484429065744	33.2326283987915
37	CTSA	22.1453287197232	32.9305135951662
38	HMGB1	22.318339100346	32.9305135951662
39	TIMP1	23.1833910034602	29.3051359516616
40	GPX4	24.5674740484429	25.0755287009063
41	FERMT3	22.1453287197232	25.9818731117825
